age,gender,education_level,occupation_type,avg_income,income_stability,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,rent_payment,utility1_payment,utility2_payment,credit_score
41,other,high-school,entry-level,4465.10677295477,0.9674299057174276,4211.892128948093,4486.395905861209,4694.786429394617,4529.069271305708,4391.95085334137,4476.546048877627,1,1,1,61
55,other,bachelors,skilled,5235.543563949694,0.9818627201755352,5112.440390907682,5429.107186209272,5210.117851112642,5216.3741692356925,5214.455710834523,5230.76607539835,1,1,1,82
24,female,masters,professional,8026.299460382387,0.9427164542094199,7653.0190926779,7848.724341878879,8635.171619237202,8005.820626191169,7405.186236456581,8609.874845852597,1,1,1,96
19,female,masters,entry-level,4325.884472463015,0.9509210489486714,4013.7895507690782,4479.638081529167,4622.297217034471,4450.573588736347,4270.267101679327,4118.741295029705,1,1,1,66
41,female,other,semi-skilled,3414.0862453394434,0.9527491136584831,3457.7436315563345,3383.0835570819686,3707.162592482069,3449.9685577596288,3181.0546368007344,3305.5044963559217,1,1,1,61
21,male,high-school,entry-level,1782.157518532237,0.9562548852994788,1699.3248687222226,1763.2288920819192,1941.637236527022,1799.680173166269,1762.9249358450197,1726.1490048509702,1,1,1,54
53,female,masters,skilled,5970.06692321416,0.9234861756621746,6034.1633195354625,5545.274338072967,5596.81699387801,6637.59089885695,5513.231897677068,6493.324091264506,1,1,1,84
18,female,other,entry-level,5366.204305284596,0.934340418338691,4973.375505569837,5474.186248806992,5772.306178374624,5826.152134697375,4946.125629239324,5205.080135019426,1,1,1,58
33,other,phd,entry-level,8118.417906776984,0.9346462538242165,7416.56399794992,7655.709568408831,8811.869618864368,8292.366286519258,7804.918349925273,8729.07961899425,1,1,1,83
45,other,other,professional,1055.8427362379928,0.9504926098770109,979.1061719650369,1072.1013272644739,1002.3974744879476,1059.8870088426086,1136.5881851672905,1084.9762497006009,1,1,1,60
32,other,bachelors,semi-skilled,6021.944208248365,0.962143736596633,6504.328157414214,5922.2357162815415,5817.559047627065,6032.429369448599,5996.403827336983,5858.709131381781,1,1,1,78
20,other,masters,professional,4202.648787778098,0.9337145647474613,4521.223059866576,4352.619625310594,3865.6783302153185,3870.2978548952397,4523.80783148188,4082.2660248989814,0,0,0,51
62,other,high-school,professional,4986.2804720063305,0.9583223326548176,5049.621068549839,4832.42125614801,4769.6988324882395,5138.581093703934,4790.406578383663,5336.954002764294,0,0,0,47
40,other,phd,skilled,9549.639966071174,0.936695188960728,8466.405030248292,9888.733720764425,9983.995638773116,8980.384609406066,10040.846185542727,9937.47461169243,1,1,1,90
58,other,bachelors,semi-skilled,4996.176891336944,0.9808131474843462,5061.320146462619,4887.2660695750465,4840.915388343069,5072.8675436166,5085.272234737515,5029.419965286815,1,1,1,70
54,female,phd,entry-level,5380.505448139035,0.9521651460545495,5665.7550274899195,5456.359415454868,5361.626159219826,5632.1370604467775,4896.060791361142,5271.094234861675,1,1,1,76
32,other,bachelors,skilled,2066.8690313725674,0.9490341620477468,1974.4640259743887,1939.7721069802735,2006.0180169200228,2248.8169997303507,2126.9512641988017,2105.1917744315665,1,1,1,60
69,male,masters,professional,6673.754838386394,0.9475125848897816,6560.132845300897,7075.851955448282,7010.78023577402,6827.744392149698,6529.486225167569,6038.533376477908,1,1,1,94
44,male,phd,semi-skilled,5019.076655097346,0.946759582676119,4782.6526141143495,5143.884387935423,5017.580525081607,5108.973397440874,5448.180290615274,4613.188715396545,0,0,0,49
24,female,phd,professional,2383.204047605625,0.9882320802483334,2398.3611123888736,2387.1375814134617,2362.7907544705718,2412.61654398253,2331.7577696005796,2406.5605237777327,1,1,1,76
42,male,phd,semi-skilled,6827.984232850879,0.9594254251235955,6941.370964892288,6631.708065964814,7050.761583323212,7149.672708666952,6323.796163851328,6870.595910406682,0,0,0,57
29,female,bachelors,entry-level,4599.089494096413,0.9557653121482127,4795.962943267088,4548.410951624414,4354.1634583657815,4396.012281016667,4923.522537455171,4576.464792849354,1,1,1,65
30,female,bachelors,skilled,2486.4916370386804,0.9372462772009633,2316.697716373183,2547.4366031054683,2496.427665815253,2323.478654483282,2455.334691237196,2779.5744912177024,1,1,1,64
65,male,masters,skilled,5052.994033912225,0.943130368249258,5236.248662288166,4969.7987857435,4701.029321173277,5490.93592818202,5206.937726503241,4713.013779583147,1,1,1,78
31,female,bachelors,entry-level,9787.613192558429,0.9344836522875555,9568.457574015574,9235.88134038689,10266.891615236405,8911.639592522019,10838.362618681234,9904.44641450845,0,0,0,54
45,male,other,semi-skilled,3236.894675308797,0.965830421067939,3134.0675211494477,3412.48559931625,3255.2327649632725,3262.045192048915,3068.616684245795,3288.920290129106,1,1,1,58
56,other,other,semi-skilled,5834.771286499567,0.9523415669665602,6261.3993960086555,5689.535046336578,5988.685551419993,5519.245753813202,5519.505780039674,6030.256191379305,0,0,0,40
29,other,bachelors,skilled,4337.516540693076,0.9312479766125654,3923.7108421449925,4675.534999511343,4510.93582155456,4682.237857399153,4090.3669517713156,4142.31277177709,1,1,1,70
50,male,bachelors,semi-skilled,4700.685598629519,0.9473639229630556,4887.22222612103,4284.320898616402,4428.709354494467,4847.980313735326,4896.049727061448,4859.831071748436,0,0,0,39
53,other,masters,entry-level,9567.487680240398,0.9381162130282962,10385.463687690008,9120.214549941315,9291.755125764763,10381.845496778513,8910.939714707223,9314.707506560566,0,0,0,58
48,other,other,entry-level,3267.488734011092,0.9505959351695792,3181.033972578052,3365.648029806641,3168.2578716292887,3058.7373981383594,3270.836837933408,3560.418293980806,1,1,1,52
30,female,phd,professional,4305.717046557497,0.9333897811436556,4614.711650776072,4120.143947430739,4604.810525741539,3832.0436509125147,4175.580522213603,4487.011982270516,0,0,0,57
39,male,bachelors,skilled,9052.790912301389,0.9865197756751136,8901.372988208457,9114.12429887144,9137.026952074564,8977.145204383063,8941.016761923127,9246.059268347677,0,0,0,62
58,female,other,skilled,4774.535850628883,0.9748581015207921,4711.799010525287,4613.833279616418,4894.817797994587,4952.109317523045,4800.291007149381,4674.364690964582,0,0,0,38
63,female,other,professional,4558.377076754744,0.9523599489399559,4921.858748204602,4364.34939466659,4791.343625176037,4433.96026784864,4468.327057224587,4370.42336740801,1,1,1,74
53,male,high-school,semi-skilled,2542.8485865804446,0.9411236797760266,2466.585370758822,2407.880338211998,2383.971130851321,2820.9750293971924,2546.2625088573573,2631.4171414059774,1,1,1,62
28,male,masters,semi-skilled,4158.811933538454,0.9623030192683468,4355.618379153241,4150.014767695933,4239.445249464252,4288.534803700466,4014.3206419578432,3904.937759258988,0,0,0,41
43,other,other,entry-level,2704.5165965237816,0.9432340763612688,2532.4196705698682,2701.622633427654,2584.3303248584352,2999.5163149483974,2632.7613901004443,2776.449245237891,1,1,1,57
29,male,masters,professional,1608.8242987815754,0.9521922845640192,1589.0674072711972,1517.4093288873476,1707.1703912639182,1620.7405395932594,1517.2644381063324,1701.2936875673988,1,1,1,65
54,male,high-school,professional,2531.3264864378193,0.9509529102462432,2639.684741457687,2505.97837587243,2520.961775314266,2416.9422551480616,2370.4827777654996,2733.908993068969,0,1,1,53
23,male,high-school,semi-skilled,6912.746384397138,0.9613697813588152,6530.276383800924,7091.731917206547,6905.259661047108,6664.534298999204,7345.384832323133,6939.291213005913,1,1,1,72
45,male,high-school,entry-level,3005.5755395233227,0.9464670713809524,3242.8347839020475,2845.61944105219,2828.812019466478,2883.5746354163616,3078.905929728969,3153.706427573889,0,0,0,25
55,other,bachelors,semi-skilled,5354.002943415095,0.916673798332551,5184.699012607355,5045.515474770226,6032.991737890588,4960.093853549341,4983.669566125492,5917.048015547564,1,1,1,70
24,male,phd,entry-level,5273.145777099012,0.9584736055492362,5518.124894709817,4923.092433037256,5143.4657899372305,5432.891817330946,5483.853035060718,5137.446692518101,1,1,1,73
58,other,phd,skilled,8580.470062900264,0.9671458263422192,8272.594591703913,8797.595542647467,8313.260387609394,8765.544112004553,8994.243848372706,8339.581895063551,1,1,1,95
56,male,bachelors,semi-skilled,4225.09508625616,0.9409524035331338,4245.771116321874,4469.021899897968,3940.9431327950706,4051.573202623831,4018.2920170034217,4624.969148894795,1,1,1,75
52,female,bachelors,professional,2225.5213441670653,0.9455349590104185,2365.316984393231,2257.218715460649,2285.3900608422027,2313.698176451865,2116.7241289779477,2014.779998876497,0,1,1,59
30,female,phd,semi-skilled,7364.498413736121,0.9615421550155305,7592.213232288338,7693.967181159846,7303.495328384133,7567.055485162379,7141.658614558475,6888.60064086355,1,1,1,83
70,female,masters,skilled,6175.304203208124,0.9459485121139334,6432.571425654233,6056.237533866714,5693.584490836281,5831.155116411793,6543.350887835686,6494.925764644041,1,1,1,90
68,male,high-school,semi-skilled,10102.766477065,0.917079558168578,10844.00991209885,9008.61771536835,10913.746891294297,10926.120437014377,9069.95937570851,9854.144530905618,1,1,1,85
43,male,high-school,semi-skilled,3742.0963027601742,0.957460903365954,3755.145047929621,3799.589723951149,3636.4719785298666,3556.5578619588655,4050.707439029175,3654.105765162367,1,1,1,69
55,female,phd,professional,9072.00003176786,0.9269262894887531,8299.383864649324,8613.325125538411,9940.672342886293,8464.739837485768,9213.56839477822,9900.310625269141,0,0,0,67
